,id,age,dept,location,education,recruitment_type,job_level,rating,onsite,awards,certifications,salary,satisfied
0,HR8270,27,0,1,1,2,5,3,0,4,0,47559,1
1,TECH1860,50,4,1,0,3,3,5,1,2,1,47559,0
2,TECH6390,43,4,1,1,2,4,1,0,2,0,65715,0
3,SAL6191,44,3,0,0,0,2,3,1,0,0,29805,1
4,HR6734,33,0,0,1,1,2,1,0,5,0,29805,1
5,PUR7265,40,2,1,1,2,3,3,0,7,1,42419,1
6,PUR1466,26,2,1,1,2,5,5,0,2,0,86750,0
7,TECH5426,25,4,0,1,1,1,1,0,4,0,24076,0
8,HR6578,35,0,0,0,2,3,4,0,0,0,42419,1
9,TECH9322,45,4,0,0,2,3,3,0,9,0,47559,0
10,MKT2685,31,1,0,1,3,4,4,1,6,0,65715,1
11,TECH1769,27,4,1,0,1,2,1,0,9,1,29805,1
12,TECH7949,28,4,0,1,0,3,4,1,0,0,42419,0
13,PUR3433,48,2,1,0,2,3,4,1,8,0,42419,1
14,PUR6311,52,2,0,0,1,5,3,1,7,0,86750,1
15,PUR6051,50,2,0,1,3,5,5,1,6,0,86750,1
16,MKT7420,34,1,0,0,0,1,4,1,9,0,24076,0
17,PUR2184,24,2,1,1,1,4,4,0,6,0,65715,1
18,HR5555,54,0,1,0,0,1,5,0,4,0,24076,1
19,SAL4385,25,3,0,1,0,5,4,0,4,0,86750,1
20,HR7396,25,0,1,1,0,2,4,1,4,0,29805,1
21,HR9666,50,0,1,0,2,5,4,0,0,0,86750,1
22,PUR3558,34,2,0,0,2,4,2,0,4,1,65715,1
23,SAL8849,37,3,0,1,3,5,5,0,0,1,86750,1
24,SAL3047,31,3,1,0,3,4,4,0,3,1,65715,0
25,SAL3747,53,3,1,0,1,4,5,0,8,1,65715,0
26,MKT1189,45,1,1,1,3,4,3,1,8,0,65715,1
27,PUR3734,30,2,0,1,0,4,3,0,4,1,65715,0
28,SAL4005,33,3,0,0,0,4,4,1,3,1,65715,0
29,MKT5658,38,1,1,1,2,2,5,1,2,0,29805,1
30,TECH2899,54,4,0,1,0,1,5,1,2,1,24076,0
31,TECH8734,48,4,0,1,1,3,5,1,4,1,42419,1
32,MKT2267,49,1,1,0,0,1,2,1,9,0,24076,1
33,MKT2528,47,1,1,0,0,4,3,0,0,0,65715,1
34,PUR4556,44,2,0,1,1,2,5,0,4,0,29805,1
35,PUR4890,26,2,0,0,3,5,5,0,5,1,86750,1
36,TECH9838,50,4,1,1,3,2,2,1,6,1,29805,0
37,SAL6393,23,3,0,0,1,4,2,0,8,0,65715,1
38,TECH9792,46,4,0,1,2,2,5,0,2,0,29805,0
39,SAL9433,29,3,1,1,0,2,1,1,1,1,29805,1
40,SAL8513,24,3,1,0,1,4,5,1,2,0,65715,1
41,PUR3612,46,2,0,1,0,2,5,1,8,1,29805,1
42,HR8041,50,0,0,0,2,3,3,1,6,0,42419,0
43,HR7235,27,0,0,1,0,3,2,0,8,0,47559,1
44,MKT6486,29,1,1,1,1,2,5,1,1,1,29805,1
45,PUR8099,26,2,0,1,0,5,5,1,4,0,86750,1
46,SAL1775,27,3,0,0,3,4,5,0,3,0,65715,1
47,HR9226,46,0,1,1,2,3,2,0,1,0,42419,0
48,SAL4152,23,3,1,1,2,5,5,1,8,1,86750,1
49,HR2585,23,0,0,1,2,2,5,0,8,0,29805,0
50,HR4943,37,0,1,1,1,5,4,1,5,0,86750,1
51,HR8555,42,0,1,1,2,1,1,1,5,0,24076,0
52,PUR4073,27,2,0,0,3,3,3,0,7,0,42419,0
53,TECH2021,51,4,1,0,1,2,1,0,5,0,29805,1
54,SAL4843,32,3,1,1,3,4,4,1,0,0,65715,1
55,PUR8989,50,2,0,1,0,2,3,1,3,1,29805,0
56,PUR7873,40,2,1,1,0,4,5,1,6,1,65715,1
57,PUR6675,50,2,0,0,0,2,4,0,1,0,29805,1
58,PUR1161,25,2,0,1,0,5,5,1,8,1,86750,1
59,PUR5297,33,2,1,0,3,5,2,1,7,1,86750,0
60,MKT1995,37,1,1,0,1,5,4,1,7,0,86750,1
61,SAL8629,53,3,1,0,1,1,2,1,6,1,24076,1
62,PUR2016,49,2,0,1,2,4,4,1,3,1,65715,1
63,SAL8869,52,3,1,0,3,5,4,0,1,1,86750,0
64,MKT7439,33,1,0,1,0,1,2,1,2,1,24076,1
65,MKT8892,39,1,1,0,3,4,3,1,5,1,65715,0
66,SAL7863,39,3,1,1,2,2,1,1,4,1,29805,1
67,HR8916,28,0,1,0,2,1,5,1,7,1,24076,0
68,TECH9529,54,4,0,1,3,3,4,0,5,1,42419,1
